rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
184,"spotify:track:1wS6hC3kgiGZqfxsTwC6QI","VALMAR, Hősök","Magyarok","VLMR MUSIC",131,166,6,"26017"
185,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",8,184,98,"25910"
186,"spotify:track:6jcfITWcR5egvbD4fsGayr","Kungs","Clap Your Hands","Universal Music Division Island Def Jam",186,-1,1,"25907"
187,"spotify:track:6YUTL4dYpB9xZO5qExPf05","Calvin Harris","Summer","Columbia",152,185,9,"25887"
188,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Warner Records",2,187,136,"25731"
189,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",177,177,2,"25635"
190,"spotify:track:3O4K18pKijLPiubNrt5ENW","Carson Coma","Bőrönd","Gold Record Music Kft.",18,157,15,"25429"
191,"spotify:track:0oiv4E896TUTTeQU0cmIui","Drake","Massive","OVO",171,171,2,"25332"
192,"spotify:track:3F9lNhHQpgGbimFV75jfMt","Elefánt","Kösz","Elefánt",58,190,39,"25252"
193,"spotify:track:6y6rFBrmuUNykI58f7JvOI","Zaporozsec","Azon Az Éjszakán","KO Records",76,196,39,"25075"
194,"spotify:track:3I10tZ5MgEMo4WryCNJkZQ","Shouse","Won't Forget You (Edit)","Hell Beach",194,194,3,"25045"
195,"spotify:track:40CEufN1AE9J2sb6fH5HPO","Manuel, Darius King","Zombi - Pt.2","Gold Record Music Kft.",31,130,4,"25013"
196,"spotify:track:0qELCtMR31qphCvyVq9Vua","T. Danny","Még Egyszer","T. Danny",1,186,23,"24956"
197,"spotify:track:2N5HRQukBtxrzKHdwFAKkR","Atka, ekhoe, Nasiimov","Studioba Öltönyben","IBBI ACADEMY",106,-1,4,"24847"
198,"spotify:track:215ivkVJmNk338IEwN66qC","Bruno X Spacc, Manuel","Lassított Felvétel","Young and Loud",37,192,30,"24721"
199,"spotify:track:1BkY0N8ChFk2mdLbAUu8ZK","Musical Youth","Pass The Dutchie","Geffen",109,160,4,"24668"
200,"spotify:track:2dWNKXTs5z7Iu1g0kYh4Xe","Becky Hill, Topic","My Heart Goes (La Di Da) (feat. Topic)","Polydor Records",143,-1,23,"24665"
