url,streams
spotify:track:6bsERSsjVL4Cpt0e2t77Vx,"[29482, 30009, 33560, 31389, 30820, 30810, 31017, 31291, 30634, 30497, 31143, 29331, 30384, 29897, 28785, 30520, 28227, 28617, 27414, 28162, 27986, 28219, 28264, 32036, 31256, 31493, 32600, 31536, 31409, 32535, 31725, 31909, 32006, 32471, 33255, 33095, 33213, 34746, 32763, 31614, 29378, 28706, 27794, 30072, 25769, 26717, 26591, 25833, 25790, 28754, 28437, 25699, 24630, 23856, 25891, 24828, 24974, 24894, 25353, 25239, 25012, 25437, 25304, 24122, 22344, 22674, 24104, 22326, 22420, 23005, 22176, 23669, 23987, 23865, 22802, 25033, 25529, 25003, 24698, 25607, 30106, 32545, 32464, 32507, 31405, 31721, 31736, 33219, 35798, 33935, 32380, 29621, 29849, 28744, 29699, 26994, 24644, 23340, 23400, 24195, 23426, 24812, 24804, 22462, 20316, 22086, 21772, 22652, 22663, 21823, 22009, 22956, 21716, 21581, 21135, 20849, 22577, 19798, 20463, 20294, 22161, 21183, 21222, 20890, 21226, 21514, 22699, 22830, 21813, 20684, 20010, 20626, 22273, 22204, 21628, 24803, 24383, 22525, 21283, 21548]"
spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"[29393, 31224, 33481, 33018, 32187, 29494, 32478, 32933, 28339, 26679, 24420, 22159, 22346, 21536, 20088, 20839, 18219, 17232, 14876, 13852]"
spotify:track:5N5k9nd479b1xpDZ4usjrg,"[29383, 29539, 32643, 32842, 29354, 28495, 26118, 24995, 25159, 23934, 23707, 21447, 22367, 21882, 20119, 20398, 17783, 16994, 17025, 16614, 16569, 15482, 14991, 14779, 15084, 14999, 14389, 13624, 13781, 13089]"
spotify:track:0YammaEkYSeo9vQYZ1OwS6,"[29011, 30609, 33624, 34813, 36958, 38163, 38862, 40274, 40604, 40365, 39044, 35808, 36728, 36178, 34910, 35695, 32124, 31371, 28865, 29302, 27756, 27958, 27212, 28645, 27820, 25696, 24689, 23620, 23375, 22257, 21114, 20768, 20858, 19385, 19130, 19350, 19083, 19788, 19666, 19585, 18641, 18806, 18967, 18715, 16012, 16580, 16529, 15867, 15848, 18159]"
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"[28992, 28749, 28510, 26805, 25799, 25650, 24273, 23924, 22697, 23222, 20259, 18678, 19146, 18909, 18589, 18277, 17502, 16190, 16056, 15875, 16617, 17479, 16801, 16437, 16801, 17290, 17659, 17013, 16758, 16275, 15366, 15415, 15496, 15154, 14055, 14644, 14034, 13754, 14748, 14478, 14884, 15897]"
spotify:track:7FGq80cy8juXBCD2nrqdWU,"[28858, 32068, 33652, 32584, 29272, 29670, 27853, 27895, 29757, 29702, 24520, 22856, 23645, 21829, 20774, 19847, 18496, 18670, 18527, 18545, 18259, 18222, 18442, 18550, 18931, 18864, 18454, 16810, 16447, 16166, 15730, 15138, 15111, 15443, 14668, 16112, 17014, 16636, 16553, 16752, 16321, 15817, 15741, 15607, 14091, 14734, 14273, 14452, 15874, 16888, 16983, 17346, 17422, 17457, 17182, 17350, 19077, 16567, 15926]"
spotify:track:7ef4DlsgrMEH11cDZd32M6,"[28846, 23881, 21597, 21076, 21224, 20281, 19910, 20484, 20144, 19774, 18752, 17856, 18636, 18416, 18111, 17926, 16070, 15425, 14207, 14987, 15047, 15435, 15653, 16097, 16243, 16234, 16489, 16083, 15753, 16317, 14597, 14510, 14350, 13953, 13897, 13526, 18856, 15322, 15745, 16479, 16353, 38236, 51700, 56321, 53690, 50035, 46423, 44938, 44474, 42575, 41043, 53604, 58647, 43030, 39056, 33229, 32152, 30605, 29574, 28091, 34032]"
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"[28641, 29550, 29462, 29090, 27948, 28945, 25885, 23374, 21758, 20603, 19704, 18680, 18293, 16042, 15102, 14882, 14128, 14533, 14212, 13922, 14524, 14493, 15124, 14462, 14270, 13271, 13469, 16654, 15818, 15537, 15441, 15453, 18105, 18568, 17752, 18280, 15375, 16667, 17025, 16633, 17508, 21805, 20546, 20511, 19617, 20171, 18926, 19157, 19114, 19295, 18317, 18811, 18727, 19016, 24801, 19692, 18716, 17932, 17262, 23804, 76148, 59771, 51959, 48473, 48174, 44167, 43771, 41265, 37909, 33754, 31971, 30481, 29453, 29385, 28605, 28007, 28179, 26893, 25648, 25977, 27538, 27368, 26131, 25375, 23789, 24863, 26450, 22418, 22847, 22550, 22726, 23746, 25448, 24608, 22491, 20078, 22551, 22396, 22985, 22997, 21617, 21888, 22126, 21909, 21940, 20823, 20843, 21225, 19830, 19992, 19350, 19797, 20053]"
spotify:track:14JzyD6FlBD5z0wV5P07YI,"[28216, 32933, 38801, 37657, 36492, 43746, 35888, 27450, 22804, 22887, 23187, 20917, 20649]"
spotify:track:5GsS4eWizjtrlqhEyg06LU,"[27354, 25495, 21389, 18869, 16100, 15424, 13598, 12572]"
