music,streams,average,std_dev
we fell in love in october,"[28382, 50099, 54047, 47942, 46220, 45521, 37937]",44306.857142857145,7936.749774283667
Celestial,[28005],28005.0,0.0
THE LONELIEST,"[80147, 78004, 58699, 45211, 41004, 35551, 31674, 36881, 31282, 41764, 39011]",47202.545454545456,16630.18851565176
Körforgalom,"[52400, 55007, 33258]",46888.333333333336,9696.686799566587
Miss You,"[39823, 47269, 35851, 32727]",38917.5,5438.133756170401
Osztálykép,"[31264, 36296, 33221, 31175, 31071, 30134, 32094, 33419, 32486, 31710]",32287.0,1644.164772764579
CASE 143,[31121],31121.0,0.0
I Believe,"[30673, 31375, 30486, 30151, 28353]",30207.6,1009.9179372602508
Evergreen (You Didn’t Deserve Me At All),[27988],27988.0,0.0
Poland,"[57942, 38793]",48367.5,9574.5
Bye Bye,"[53666, 33300]",43483.0,10183.0
Until I Found You,[29994],29994.0,0.0
One Up,[29906],29906.0,0.0
Snow On The Beach (feat. Lana Del Rey),"[100323, 67600, 56720, 42912, 31723]",59855.6,23604.85943698882
Lavender Haze,"[92313, 58706, 45883, 35964, 29146]",52402.4,22298.767128251733
Maroon,"[82172, 51689, 39912, 30996]",51192.25,19333.41811960575
"You're On Your Own, Kid","[80186, 50428, 40390, 31524]",50632.0,18326.857068248228
Midnight Rain,"[79922, 52033, 42571, 33836]",52090.5,17309.27026913613
Vigilante Shit,"[75247, 46587, 33589]",51807.666666666664,17402.84960063214
Karma,"[72749, 47230, 37079, 29422]",46620.0,16354.652442042296
Bejeweled,"[67293, 45733, 37317, 29744]",45021.75,14047.128449882559
Question...?,"[65656, 37918]",51787.0,13869.0
Mastermind,"[55195, 33552]",44373.5,10821.5
Labyrinth,"[52118, 30196]",41157.0,10961.0
Féreg,[51759],51759.0,0.0
Sweet Nothing,[49622],49622.0,0.0
Pupilla,[43515],43515.0,0.0
Csússz le,[40525],40525.0,0.0
Áthívhatsz,"[39721, 73790, 56899, 44605, 37382, 31446]",47307.166666666664,14190.84739561227
BOMBA-BOMBA,"[33872, 74262, 61825, 54518, 45439, 39597, 36164, 33131]",47351.0,13954.77317981199
ANAKONDA,[32886],32886.0,0.0
"Would've, Could've, Should've",[32423],32423.0,0.0
Piaszag,"[31824, 62626, 45831, 36931, 30228]",41488.0,11888.006039702368
Bigger Than The Whole Sky,[30521],30521.0,0.0
The Great War,[30431],30431.0,0.0
Feminist,"[78465, 71592, 59563, 47592, 42857, 41018, 38134, 35769, 32233, 35977, 36131, 35109, 33450]",45222.307692307695,14550.453608496808
2M,"[70004, 68773, 55557, 42562, 35493, 32301]",50781.666666666664,15048.98264187834
Szeged Felől,"[69652, 58354, 44196, 36862, 30478]",47908.4,14293.483908410853
Baktérium Cypher,"[68902, 58347, 43855, 37604, 33266, 30943]",45486.166666666664,13779.98373749242
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,"[65553, 48667, 51464, 49690, 42396, 33628, 32118]",46216.57142857143,10632.436192508052
Zura,"[64323, 52592, 39121, 29867]",46475.75,13094.615026319025
PPP,"[59306, 46709, 34112]",46709.0,10285.407429946565
Deshperado,"[58433, 41242, 32796]",44157.0,10667.297720916327
Szexbomb,"[55206, 38139, 31589]",41644.666666666664,9955.164366074303
Zootiez,"[50466, 41892, 30795]",41051.0,8052.640188161892
Mulatozok - Intro,"[50170, 36771, 30072]",39004.333333333336,8355.566381494169
Kobe,"[49594, 41066, 29984]",40214.666666666664,8028.349823524688
Kicsi Juanita,"[47496, 36424]",41960.0,5536.0
Retro,"[46021, 32800]",39410.5,6610.5
Kisbalu,[42330],42330.0,0.0
Major Distribution,"[69849, 33340]",51594.5,18254.5
