name,url
Thunder,"['spotify:track:1zB4vmk8tFRmM9UULNzbLB', 'spotify:track:2USlegnFJLrVLpoVfPimKB']"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","['spotify:track:5CLGzJsGqhCEECcpnFQA8x', 'spotify:track:20ZP3Om9DvDazXrNUC7WM2']"
Back To You - From 13 Reasons Why – Season 2 Soundtrack,['spotify:track:4hQ6UGyWQIGJmHSo0J88JW']
no tears left to cry,['spotify:track:2qT1uLXPVPzGgFOx4jtEuo']
IDGAF,['spotify:track:76cy1WJvNGJTj78UqeA5zr']
Without You (feat. Sandro Cavazza),['spotify:track:6Pgkp4qUoTmJIPn7ReaGxL']
New Rules,['spotify:track:2xJCMIJfcNYDc5iR0sAm2O']
whoa (mind in awe),['spotify:track:7pdF27mSDuPWhppnHAmWHa']
Ruin My Life,['spotify:track:5tAa8Uaqr4VvA3693mbIhU']
2002,['spotify:track:2BgEsaKNfHUdlh97KmvFyo']
Inima Mea,['spotify:track:3G7WljpnJd7LC9d3MI1F76']
REMEDY,['spotify:track:6jreFSOTUAViWjKyzOC4Kg']
The Middle,['spotify:track:09IStsImFySgyp0pIQdqAc']
Elysium,['spotify:track:3nFetU29757Y0qCKu1xQI1']
monster,['spotify:track:2FUNBaa5DwItJtYEBgAblU']
Darkside,['spotify:track:6SRWhUJcD2YKahCwHavz3X']
Hol van az a lány,['spotify:track:5qmqZ2Fh9dHhDT82afD08n']
Whenever (feat. Conor Maynard),['spotify:track:3DGar7krWlmrXRFHBcQF6z']
Moonlight,"['spotify:track:0JP9xo3adEtGSdUEISiszL', 'spotify:track:0A5gdlrpAuQqZ2iFgnqBFW']"
Blöff,"['spotify:track:15h0TVG4qO6eutqjHQXb08', 'spotify:track:2J2oAJHsQI2oZ2Tbx4cnG4']"
Born To Be Yours,"['spotify:track:4M3FO0ji6Lc8vwD1sgf1nc', 'spotify:track:0kHyKhJMukHEPfeh8s7rdM']"
Cinema,"['spotify:track:04Iv2fWWQ0auuDMcoBptqh', 'spotify:track:35TyJIMR3xRouUuo2sjS6v']"
Roses (with Juice WRLD feat. Brendon Urie),['spotify:track:1KVczjazCcCCgM3gXXUl47']
Under Pressure - Remastered 2011,['spotify:track:2fuCquhmrzHpu5xcA1ci9x']
lovely (with Khalid),"['spotify:track:1NJcg626wLln4pGHpiV7mf', 'spotify:track:0u2P5u6lvoDfwTYjAADbn4']"
I'm a Mess,['spotify:track:04ZTP5KsCypmtCmQg5tH9R']
God's Plan,['spotify:track:6DCZcSspjsKoFjzjrWoCdn']
Mo Bamba,['spotify:track:1xzBco0xcoJEDXktl7Jxrr']
Billie Jean,['spotify:track:5ChkMS8OtdzJeqyybCc9R5']
Taste (feat. Offset),"['spotify:track:5IaHrVsrferBYDm0bDyABy', 'spotify:track:2toVe5hfuIi97ytDPDbQFt']"
Fogyaszd El,['spotify:track:5Bw4YIhfYOfOw7qLXIOUDb']
Better,"['spotify:track:6zeeWid2sgw4lap2jV61PZ', 'spotify:track:1dLXLETYiZohIZWnse4ypG']"
Feel It Still,['spotify:track:6QgjcU0zLnzq5OrUoSZ3OK']
Venom - Music From The Motion Picture,['spotify:track:2SL6oP2YAEQbqsrkOzRGO4']
Look Back at It,['spotify:track:3Ol2xnObFdKV9pmRD2t9x8']
Wolves,['spotify:track:0tBbt8CrmxbjRP0pueQkyU']
Somebody To Love - Remastered 2011,"['spotify:track:6cFZ4PLC19taNlpl9pbGMf', 'spotify:track:4rDbp1vnvEhieiccprPMdI']"
MIA,['spotify:track:116H0KvKr2Zl4RPuVBruDO']
Flames,['spotify:track:66BjcDhhwWCcQIBxHMpKXh']
