artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2
"Senkise, Majka","U, u, u",spotify:track:1A1UTrTxZGjybb29iLCVAF,0.688,0.593,2,-6.432,1,0.193,0.0294,0.0,0.115,0.42,124.964,audio_features,1A1UTrTxZGjybb29iLCVAF,https://api.spotify.com/v1/tracks/1A1UTrTxZGjybb29iLCVAF,https://api.spotify.com/v1/audio-analysis/1A1UTrTxZGjybb29iLCVAF,238140,4,0.0108043309206647,0.0190526595972178
Katy Perry,Never Really Over,spotify:track:5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,audio_features,5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,223523,4,0.0148903394241849,0.0262580413742616
Rilès,Pesetas,spotify:track:0Ei1aBiIELwXmUcIZDETOi,0.772,0.659,11,-5.218,0,0.335,0.0785,0.0,0.0834,0.536,147.149,audio_features,0Ei1aBiIELwXmUcIZDETOi,https://api.spotify.com/v1/tracks/0Ei1aBiIELwXmUcIZDETOi,https://api.spotify.com/v1/audio-analysis/0Ei1aBiIELwXmUcIZDETOi,193562,4,0.0140806355967701,0.0248301869785032
"Y2K, bbno$",Lalala,spotify:track:51Fjme0JiitpyXKuyQiCDo,0.843,0.39,2,-7.899,1,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627,4,0.0233971083564934,0.0412591158442658
AK26,Blöff,spotify:track:15h0TVG4qO6eutqjHQXb08,0.882,0.838,5,-6.019,0,0.0869,0.0182,0.0,0.109,0.655,130.005,audio_features,15h0TVG4qO6eutqjHQXb08,https://api.spotify.com/v1/tracks/15h0TVG4qO6eutqjHQXb08,https://api.spotify.com/v1/audio-analysis/15h0TVG4qO6eutqjHQXb08,236382,4,0.0112251604751012,0.0197099770291189
"KKevin, Bruno X Spacc",Topshit,spotify:track:6w9aIT3TyqClXIcKyw6W1a,0.902,0.504,1,-7.136,0,0.174,0.0955,1.5e-06,0.0952,0.487,91.013,audio_features,6w9aIT3TyqClXIcKyw6W1a,https://api.spotify.com/v1/tracks/6w9aIT3TyqClXIcKyw6W1a,https://api.spotify.com/v1/audio-analysis/6w9aIT3TyqClXIcKyw6W1a,166165,4,0.0363733400536059,0.0638670332169517
Doja Cat,Woman,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4,0.0255463225652863,0.0448561454472851
"Doja Cat, SZA",Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4,0.0237436937484566,0.0416909548337031
Taylor Swift,Don’t Blame Me,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,audio_features,1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,236413,4,0.01060906058452,0.0186281827226649
Avicii,Wake Me Up,spotify:track:0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4,0.0092163216485137,0.0161827074444152
"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,spotify:track:3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4,0.0180011749000467,0.0316078103795548
Shouse,Love Tonight (Edit),spotify:track:6OufwUcCqo81guU2jAlDVP,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,audio_features,6OufwUcCqo81guU2jAlDVP,https://api.spotify.com/v1/tracks/6OufwUcCqo81guU2jAlDVP,https://api.spotify.com/v1/audio-analysis/6OufwUcCqo81guU2jAlDVP,241970,4,0.0153215122242082,0.0269026580653659
Grasa,Tilidin,spotify:track:3kmBT0nbeNoaRlFMZbAOfb,0.761,0.639,8,-8.104,0,0.426,0.0891,0.0,0.181,0.541,85.923,audio_features,3kmBT0nbeNoaRlFMZbAOfb,https://api.spotify.com/v1/tracks/3kmBT0nbeNoaRlFMZbAOfb,https://api.spotify.com/v1/audio-analysis/3kmBT0nbeNoaRlFMZbAOfb,124186,4,0.025192995270277,0.0442357469341554
Creeds,Push Up - Main Edit,spotify:track:3AjSfp5FDvwtMU9XBsbS8j,0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,audio_features,3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/tracks/3AjSfp5FDvwtMU9XBsbS8j,https://api.spotify.com/v1/audio-analysis/3AjSfp5FDvwtMU9XBsbS8j,139300,4,0.0175791163084623,0.0308667283109712
"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),spotify:track:24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200,4,0.0197415677579208,0.034663722437688
"Rudimental, Jess Glynne, Macklemore, Dan Caplen","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",spotify:track:5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4,0.0127857660030609,0.022351923042654
Dzsúdló,Pont én,spotify:track:0YrojVR0LLrXAQQu8o6GuE,0.742,0.414,0,-7.343,1,0.0915,0.652,0.0,0.178,0.333,82.491,audio_features,0YrojVR0LLrXAQQu8o6GuE,https://api.spotify.com/v1/tracks/0YrojVR0LLrXAQQu8o6GuE,https://api.spotify.com/v1/audio-analysis/0YrojVR0LLrXAQQu8o6GuE,130742,4,0.0129474222956835,0.0226345286379071
"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),spotify:track:5JqZ3oqF00jkT81foAFvqg,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,audio_features,5JqZ3oqF00jkT81foAFvqg,https://api.spotify.com/v1/tracks/5JqZ3oqF00jkT81foAFvqg,https://api.spotify.com/v1/audio-analysis/5JqZ3oqF00jkT81foAFvqg,169333,4,0.0210435900435619,0.0367881521593819
"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4,0.0246169944516918,0.0430351349613257
The Weeknd,Die For You,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,audio_features,2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253,4,0.0101741805075856,0.017786380547961
