music,streams
Bones (feat. OneRepublic),"[20323, 24463, 23608, 18692, 19777, 13765, 13105, 14029, 14190, 14341, 13252, 14055, 15802, 15579, 15439, 16335, 15315, 15250, 15511, 15954, 17118, 14355, 14088, 14121, 14103, 13484, 13231, 13662, 13698, 14502, 14836, 15804, 16001, 16045, 16229, 16465, 15142, 15486, 15058, 14854]"
Lost In Japan,"[18040, 17471, 18504, 17544, 16972, 16639, 15300, 15885, 16426, 16470, 15872, 14303, 13790, 15973, 14512, 14257, 13345, 13307, 13106]"
Százszor Visszajátszott - Radio Edit,"[17997, 13206, 14226, 14245, 13893, 14054, 14235, 14601, 15070, 14702, 14655, 16781, 16900, 16648, 17006, 17253, 16743, 17112, 18012, 18523, 17514, 17964, 17982, 17540, 16275, 16743, 18506, 19314, 18907, 19016, 19092, 19303, 19513, 19164, 18713, 18433, 18017, 17642, 17889, 18280, 18899, 28054, 35737, 44566, 48966, 41868, 37622, 39838, 41298, 40610, 41298, 46559, 43519, 37843, 37864, 32303, 30669, 30623, 32214, 34976, 37427, 33381, 35881, 33076, 33583, 34437, 33138, 36046, 34700, 42892, 42834, 34442, 38375, 34808, 34327, 34733, 35620, 34659, 36767, 37295, 35755, 36259, 40652, 38426, 40295, 39406, 35743, 41856, 43164, 42646, 40590, 42534, 38447, 40702, 37602, 36865]"
Don't Call Me Up,"[17144, 21590, 24501, 40339, 43357, 44779, 47424, 56776, 55815, 55808, 59957, 47837, 44099, 42999, 43808, 40159, 40417, 41240, 36833, 36838, 35104, 34617, 34078, 32859, 33354, 34201, 36263, 36097, 35375, 34100, 36528, 36712, 39073, 35796, 35861, 35077, 34057, 33270, 31649, 32537, 32531, 28215, 27379, 28767, 42592, 36497, 29031, 33910, 35203, 31943, 30159, 29922, 29948, 28663, 29552, 29162, 27995, 28000, 26384, 25473, 25820, 27338, 25088, 25672, 25217, 24304, 24917, 24856, 24920, 23922, 24603, 25274, 26010, 25579, 24931, 25076, 24957, 24541, 24278, 24718, 25103, 22348, 22131, 22613, 22624, 23745, 24171, 24863, 25236, 24956, 25283, 23477, 23493, 23347, 22723, 22332, 23515, 22977, 22123, 21922, 23845, 23104, 23488, 23534, 22809, 23190, 23406, 23204, 23295, 21848, 23064, 24173, 22412, 24294, 23521, 23899, 23340, 23190, 22890, 22295, 22402, 22647, 22738, 21423, 21875, 20602, 20624, 20521]"
Pure Water (with Migos),"[13455, 16751, 24447, 24762, 23476, 25486, 26982, 26866, 25105, 22143, 21837, 18672, 18824, 17370, 17121, 16150, 15278, 14640, 14879, 14897]"
"break up with your girlfriend, i'm bored","[130740, 97273, 82408, 74530, 69600, 58174, 55008, 48462, 41001, 31804, 26155, 23135, 21451, 21708, 19890, 19611, 18716, 18225, 18357, 17376, 16645, 15872, 15412, 14893, 14400, 15726, 13721, 13283, 13391, 13840, 14267]"
Who Do You Love,"[61190, 50061, 47668, 40969, 37354, 32604, 35011, 31850, 26503, 25999, 22993, 23399, 21556, 16610, 17590, 18136, 18887, 17253, 17409, 16971, 18842, 18801, 16460, 16036, 15270, 15326, 15437, 14494, 14464, 15743]"
Con Calma,"[17894, 22250, 42451, 45778, 44644, 50912, 56547, 46138, 42306, 40859, 35609, 34319, 32210, 31876, 31096, 36434, 38723, 45977, 45851, 47795, 48643, 47990, 45564, 45313, 43518, 37007, 34366, 32444, 29616, 28441, 24241, 22621, 21273, 21736, 20009, 20025, 19103, 18673, 15472, 15207, 15183, 15987, 26156, 23784, 26704, 21564, 21217, 19087, 18309, 17951, 17373, 17236, 16813, 16561, 17994, 17751, 20025, 18869, 17829, 17337, 17749, 18118, 17886, 17340]"
Üzenetek,"[42215, 46915, 29912, 23441, 18477, 16332, 15060, 17449, 21376, 17100, 17644, 16432, 18957, 18103, 17634, 16978, 16595, 16546, 15712, 16180, 14990, 15951, 15642, 14355, 14146, 13733, 14843, 17654, 16094, 15364, 15363, 14341, 14069, 14193]"
Robbery,"[29977, 32595, 30929, 25488, 17211, 15937, 13384, 37812, 28907, 18936, 18818, 22123, 21843, 21601, 21025, 20726, 19465, 20336, 19430, 18326, 20672, 19584, 18803, 17516, 15811, 16597, 17915, 17883, 18624, 18290, 18759, 19433, 19953, 19170, 19498, 19214, 20480, 23360, 23073, 23529, 24853, 24552, 26913, 27554, 30088, 31608, 31034, 33353, 32169, 32208, 31334, 32632, 34685, 29617, 32739, 31124, 30628, 34089, 35969, 34215, 34954, 30394, 28183, 31220, 31513, 30769, 30152, 29498, 28847, 27714, 27003, 27980, 26186, 26419, 23871, 22446, 22837, 22879, 22439, 21484, 19045, 19318]"
Last Hurrah,"[26452, 29016, 41993, 46455, 39254, 39395, 33055, 25767, 20012, 17081, 16418, 14774, 14717, 13309, 12998, 13061, 12919]"
Never Go Back,"[24454, 22531, 19218, 19472, 19467, 20128, 18098, 21645, 19823, 16261, 13893, 14559, 13308, 17357, 17816, 16890, 16421, 15756, 15059, 13920]"
Valahol Itt,"[13582, 12978, 15499, 15602, 16508, 20037, 21100, 21898, 23460, 26663, 30974, 28919, 28513, 25885, 28184, 35590, 36349, 35561, 38079, 35512, 33131, 31980, 32474, 32592, 31297, 31415, 35083, 33400, 31495, 29660, 28620, 27545, 24749, 24125, 25099, 26818, 27203, 27311, 26858, 27357, 27957, 27289, 27890, 26720, 23312, 21819, 22351, 23328, 23740, 26435, 27546, 26020, 26551, 25961, 26115, 25907, 25451, 25057, 25333, 25296, 25570, 26663, 25612, 25969, 25524, 26204, 26586, 25267, 24230, 23292, 23229, 23060, 22336, 24646, 23532, 22581, 20701, 19598, 19920, 18554, 17045, 19878, 19277, 18554, 18716, 18889, 20264, 20522, 21889, 23597, 22419, 22814, 23256, 26410, 24466, 23078, 22608, 23414, 23576, 23286, 34117, 34442, 35545, 38243, 39895, 36035]"
Amilyen Hülye Vagy Én Úgy Szeretlek,"[12460, 12717, 12690, 13204, 13571, 13630, 14134, 13388, 13799, 13864, 13518, 14381, 14205, 14205, 14299, 14231, 14781, 15193, 15493, 15345, 16552, 16244, 16516, 16139, 16463, 16889, 17324, 17110, 17754, 17522, 17148, 16791, 17345, 17285, 17737, 15575, 16824, 16340, 16239, 16096, 15618, 17261, 16985, 17545, 17711, 17231, 18255, 17314, 17111, 17629, 16425, 16536, 15609, 16247, 16590, 15418, 16503, 16945, 16776, 16847, 17315, 16824, 17430, 16978, 17058, 17654, 19091, 19398, 18406, 19202, 18625, 17854, 17485, 17033, 17685, 16846, 17770, 17309]"
No Sleep (feat. Bonn),"[35917, 27034, 26918, 24376, 23437, 20499, 14524, 13596, 14078, 12777, 13065, 13332, 13671, 13860, 14072, 13457, 16153, 14607]"
Walk Me Home,"[33942, 25397, 23419, 21841, 25972, 28118, 25382, 23638, 20374, 29914, 28663, 25714, 21382, 14902, 14491, 14057, 14569, 14318, 13426, 13009]"
Magány,"[16937, 18725, 17199, 29650, 24616, 19645, 19965, 21622, 18094, 17483, 17127, 16771, 16135, 15807, 15266, 14095, 13108, 13381, 14681, 13967, 14617, 17374, 18102, 18182, 19306, 19866, 17784]"
Sucker,"[109246, 101709, 82444, 79773, 72580, 70887, 66080, 59828, 52890, 52562, 53869, 50255, 48854, 48581, 56308, 55231, 53372, 45840, 43016, 41063, 39356, 37671, 40091, 38773, 37511, 34903, 36255, 34795, 34970, 32358, 32112, 31565, 30357, 27841, 29487, 26055, 26714, 26244, 25565, 26868, 38383, 33504, 28508, 32492, 31688, 30884, 29869, 29600, 28564, 28269, 28458, 26813, 26477, 26780, 26157, 24997, 24769, 24810, 22503, 22559, 22242, 21392, 21840, 21730, 22098, 21285, 21384, 20880, 20318, 20363, 19404, 19764, 19881, 18865, 18656, 18451, 17575, 16823, 16616]"
wish you were gay,"[31919, 57591, 40908, 38018, 71421, 59160, 44739, 36330, 33252, 30500, 28736, 24963, 21518, 19177, 17080, 16588, 16338, 15676, 15923, 16765, 15194, 13548, 13938, 15038, 14774, 15819, 15819, 17679, 16974]"
Here With Me,"[43042, 43981, 48257, 42241, 40739, 38780, 33236, 28092, 28796, 28122, 25656, 23839, 23270, 17759, 16858, 17154, 18309, 18489, 16866, 15978, 15268, 18303, 18009, 17743, 16013, 17378, 17849, 17520, 17837, 17902, 17047, 17058, 16985, 16774, 14325, 14829, 14796, 14567, 28961, 35886, 35718, 35008, 35327, 33015, 31889]"
So Am I,"[22651, 25312, 34739, 33875, 32119, 34723, 35916, 36759, 38335, 38450, 37758, 38474, 33605, 34265, 33583, 33492, 34682, 31085, 30170, 31082, 30977, 31730, 31850, 30517, 26860, 31108, 28641, 28510, 29029, 28537, 27644, 26744, 26066, 26464, 23177, 24135, 23871, 23198, 22745, 23305, 22656, 19934, 21803, 23087, 23551, 23205, 23524, 22478, 23220, 23567, 22974, 22477, 22387, 22201, 22499, 23143, 20924, 21042, 20542, 19377, 19992, 19961, 19863, 18793, 19538, 18803, 19200, 19097, 18394, 18723, 19504, 19104, 21299, 20723, 19435, 18181, 18776, 18650, 17837, 19647, 19078, 17946, 17786, 17815, 17318]"
Mennyország Tourist,"[12947, 12191, 12792, 13154, 13416, 14427, 12997, 13194, 14335, 13899, 14088, 14292, 14938, 14978, 14654, 15054, 16080, 16393, 16130, 17144, 16676, 17494, 17370, 17787, 17104, 17460, 17561, 17312, 17451, 17408, 17249, 17533, 18163, 18443, 15840, 16833, 16670, 16737, 16499, 16935, 17003, 17127, 17205, 17635, 17700, 18051, 18461, 18199, 18317, 17897, 16977, 17938, 18196, 17119, 17691, 17701, 17052, 18145, 18588, 18966, 19152, 19380, 18702, 19401, 19089, 19336, 22369, 22864, 23325, 22647, 22722, 24063, 22585, 22653, 22864, 24451, 24453, 23972, 24844, 24029, 24732, 23563, 21058, 22149, 22657, 22617, 22779, 24360, 24454, 23256, 20867, 23159, 23514, 23893, 24319, 25190, 24950, 25443, 25704, 24766, 25028, 25985, 27697, 26415, 26602, 26562, 25877, 25627, 26011, 25758, 25828, 25438, 27471, 28222, 26682, 26620, 24612, 25333, 26302, 26042, 25437, 24538, 24454, 24237, 22978, 21552, 22079, 22211, 22610, 27055, 25725, 24222, 25146, 22819, 22257, 22750, 22375, 22845, 26612, 25540, 33641, 37656, 38010, 35996, 36728, 35300, 35310, 32592, 31454, 28041, 28378, 27544, 29437, 27850, 27110, 29976, 29250, 29992, 29005, 29151, 36460, 34809, 33436, 31957, 29763, 30269, 30993, 29714, 27376, 26876, 26729, 37114, 39175, 42430, 43205, 45581, 48439, 45834, 48331, 48536]"
Highway to Hell,"[12448, 11838, 12543, 13017, 13206, 13167, 12528, 12732, 12465, 12939, 13390, 13398, 13818, 13899, 13857, 14488, 14489, 15033, 14977, 14184, 14220, 13883, 14549, 13313, 13297, 13674, 14082, 14170, 13910, 13999, 14428, 16342, 13841]"
Apátok,"[27571, 24834, 20035, 18667, 19395, 16620, 15890, 15106, 15834, 15214, 14621, 13927, 14057, 15020, 17301, 16677, 15609, 17130, 17517, 16613, 16219, 15941, 16223, 16273, 15574, 15154, 14631, 13906, 14305, 14671, 15992, 14231, 15567, 15586, 16001, 15748, 15471]"
Old Town Road,"[20475, 35144, 50655, 56923, 66651, 67977, 63944, 57285, 55831, 57552, 54844, 57886, 51266, 48050, 45644, 43182, 40378, 39829, 39018, 18910, 26665, 27513, 28509, 29822, 27033, 24673, 24730, 24612, 23843, 22462, 21022, 20860, 21189, 17025, 17291, 17954, 18073, 18209, 22670, 21196, 21523, 18381, 19262, 18506, 18930, 18190, 18019, 17108, 17051]"
Fading,"[12780, 13829, 13935, 14350, 13533, 13347, 13133, 12553, 12969, 15308, 17778, 19386, 19907, 19749, 20073, 20308, 20030, 19451, 17732, 17972, 17875, 16303, 16967, 17346, 16597, 15235, 15219, 15318, 15275, 14035]"
On My Way,"[34945, 37707, 36562, 42009, 38399, 37869, 35625, 35077, 22950, 20043, 19322, 17999, 18316, 17979, 18287, 18023, 18014, 18563, 17270, 16090, 15485, 13909, 13280]"
What I Like About You (feat. Theresa Rex),"[14477, 16663, 17273, 18245, 21930, 24911, 26485, 24056, 25588, 19950, 18317, 18152, 19412, 20547, 18282, 17169, 17202, 16664, 17033, 16907, 17006, 14363, 17893, 16712, 16960, 17214, 17876, 18043, 18631, 17848, 18707, 16130, 16842, 16550, 15724, 15450, 16851, 17327, 18226, 18075]"
bad guy,"[160403, 154801, 145396, 121175, 116863, 112956, 122575, 113782, 110955, 104900, 101499, 99733, 108887, 107336, 105680, 87969, 87159, 83522, 80389, 75728, 76744, 90386, 88452, 92272, 99805, 90008, 88902, 89655, 87422, 85742, 88179, 80993, 86209, 90522, 87971, 88046, 103422, 89660, 84701, 89208, 84775, 85190, 79484, 97814, 85591, 81438, 83109, 77949, 73164, 69219, 67274, 59009, 57939, 58924, 53455, 55874, 53004, 49282, 50087, 50373, 50034, 46993, 47997, 45139, 44590, 44694, 43479, 42049, 41401, 39277, 39921, 37473, 34656, 32501, 32251, 31293, 30904, 29597, 27840, 28041, 27104, 27852, 27832, 27402, 24641, 28390, 26739, 28208, 30840, 29332, 28592, 30531, 27444, 27373, 26608, 26592, 25938, 24411, 24278, 25387, 25487, 25419, 24303, 24330, 24709, 22232, 24061, 23532, 24207, 26037, 25099, 23738, 23177, 22725, 22892, 21603, 20312, 20502, 19959, 20243, 39316]"
all the good girls go to hell,"[65853, 44588, 36765, 30037, 27798, 24357, 23249, 16640, 15206, 13647, 20391, 23171, 22287, 21588, 23083, 23145, 18343, 17877, 18404, 18957, 20924, 20868, 22101, 21433, 19330, 20424, 21248, 21323, 19796, 23528, 21755, 20852, 22392, 21350, 19575, 17754, 16772]"
Deutschland,"[55763, 32261, 22606, 17276, 20654, 18414, 18036, 35040, 26013, 23593, 18866, 19102, 16112, 15132, 14900, 14332, 13499, 13188, 17392, 18449, 16129, 15644, 15292, 14567, 46059, 44471]"
All Day And Night,"[16233, 12442, 14635, 23085, 25035, 24243, 23403, 18779, 19786, 20515, 20614, 21267, 21265, 19296, 21934, 20426, 18365, 17100, 19668, 22317, 20722, 21043, 21334, 23044, 23498, 20022, 20011, 18610, 19500, 19336, 18872, 18405, 19669, 20116, 17396, 18199, 18033, 18038, 18876, 18501, 18382, 19029, 17396, 17593, 17318, 15185, 15202, 14557]"
Old Town Road - Remix,"[64396, 90373, 88206, 90832, 90390, 94536, 103239, 102388, 98617, 95512, 92965, 94437, 93937, 87649, 77696, 24471, 77329, 26405, 71139, 70660, 69077, 68054, 68601, 64181, 63363, 63834, 57673, 55735, 50145, 47900, 45700, 45647, 37110, 36062, 35585, 34690, 36818, 51919, 45251, 40962, 45914, 42015, 40538, 34637, 35996, 37041, 33730, 31032, 30427, 30443, 29091, 28751, 25712, 24976, 25639, 24025, 24542, 23617, 22658, 23224, 23270, 23622, 23186, 24026, 23612, 23513, 24442, 22682, 22300, 21805, 19647, 19190, 18539, 17865, 17160, 16092]"
Amikor Feladnád,"[59229, 46336, 37383, 38189, 38367, 45910, 43900, 38803, 38618, 39182, 38889, 36806, 39475, 39120, 40501, 42237, 39441, 37427, 36890, 36606, 42408, 40218, 38179, 40968, 37585, 36156, 34009, 35380, 35394, 36776, 33174, 34285, 34052, 34751, 32946, 33027, 31742, 28366, 31461, 29073, 30374, 28876, 28745, 28706, 28325, 28236, 27945, 28216, 28074, 25819, 25860, 30611, 44202, 33396, 32069, 29925, 27661, 27955, 28358, 27759, 27292, 28107, 27974, 27932, 27119, 26722, 30839, 32500, 32400, 33069, 32701, 35587, 32606, 33738, 32402, 32001, 32416, 32219, 33497, 36211, 35655, 34166, 33635, 33202, 31642, 31190, 31294, 32154, 31389, 31001, 29040, 28097, 29872, 29952, 31096, 30098, 29068, 29179, 31259, 30827, 31435, 29582, 30480, 33407, 30525, 33491, 34478, 34780, 33623, 32920, 31540, 30162, 30766, 32069, 32259, 32921, 31060, 28715, 30526, 30424, 29174, 35084, 38117, 41444, 46167, 44832, 43543, 42606, 41750, 39856, 35097, 33640, 32100, 31085, 30535, 29897, 29953, 28246, 27362, 27882, 27975, 29973, 27635, 27997, 28535, 27979, 28039, 27498, 28720, 29970, 28404, 27508, 27045, 25702, 26240, 24768, 29765, 26288, 26311, 28715, 26927, 28473, 27339, 26025, 24464, 26759, 29611, 31898, 29994, 34614, 34212, 34521, 39758, 34902, 34625, 37869, 40638, 37931, 41927, 39142, 43192, 45146, 43136, 41933, 43603, 48083, 45162, 48301, 48021, 45989, 44656, 41201, 41349, 41746, 41963, 51046, 42547, 45365, 44082, 45332, 45727, 47096, 45916, 45205, 43814, 39479, 39960, 39620, 37240, 38885, 37075, 40889, 44595, 44214, 45526, 41820, 44657, 44607, 47741, 46363, 47280, 50860, 59536, 50299, 46564, 49453, 45266]"
Paradise,"[25980, 23148, 20938, 22586, 30687, 33843, 27595, 25497, 21071, 18220, 13727, 15209, 14436, 73486, 44083]"
Talk (feat. Disclosure),"[18698, 27573, 30396, 33336, 31424, 30186, 26007, 23828, 20863, 19083, 19262, 16352, 15818, 14611, 13792, 13745, 13090]"
Élnünk Kellett Volna,"[12534, 13283, 12370, 12356, 13396, 14690, 13881, 13925, 14779, 15049, 14680, 16600, 16016, 16190, 17295, 15930, 15331, 15976, 15252, 16681, 15815, 15258, 15017, 14297, 13780, 17209]"
Valami Van A Levegőben,"[12425, 12433, 12515, 12573, 13544, 15151, 14244, 14067, 15497, 15657, 15486, 16808, 16219, 16100, 16905, 16076, 15795, 15801, 16028, 16324, 15478, 14271, 14230, 16159, 17445, 15406, 15141, 15486, 16272, 17095, 16939, 16505, 20406, 33841, 35590, 37703, 35197, 35064, 36899, 39451, 36843, 34897, 44141, 35557, 36562, 38201, 34940, 37020, 40176, 43056, 46061, 49198, 40371, 43478, 44892, 48151, 44022, 47402, 48089, 57791, 52511, 53818, 55104, 47006]"
SOS (feat. Aloe Blacc),"[88428, 65759, 63493, 62315, 62283, 50970, 45819, 63074, 52072, 42998, 41440, 39118, 35030, 34436, 30972, 32163, 31283, 30216, 23177, 25518, 24311, 22530, 21539, 22101, 21553, 21708, 21674, 21193, 18424, 19306, 18500, 17898, 18079, 22076, 22268, 20557, 21110, 20608, 20128, 20094, 20130, 19781, 19612, 19519, 19480, 19194, 18743, 19439, 19114, 19329, 17426, 18472, 17904, 16243, 16959, 16832, 16506, 16979, 17682, 17899, 18487, 18837, 18480, 18204, 18008, 17180, 16608]"
Sixteen,"[29622, 22781, 21926, 20539, 22767, 21498, 21749, 20082, 15914, 14585, 15409, 14816, 13809, 13967, 14086, 15926, 15448, 15313, 15054, 16062, 15992, 16458, 16358, 16984, 15666, 15754, 15838, 14856, 17532, 18158, 18362, 18513]"
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","[32361, 28633, 32994, 37038, 32264, 34282, 29373, 24217, 20395, 19965, 20574, 19724, 19971, 18509, 17530, 17639, 17928, 17336, 14729, 15067, 14513, 15139, 15410, 15421, 15261, 14612, 13756]"
Piece Of Your Heart,"[15006, 19511, 21721, 26458, 31701, 34635, 38775, 38741, 41661, 45492, 49124, 54552, 50552, 49025, 49252, 53753, 52156, 49460, 48313, 49316, 49859, 55639, 52179, 50883, 48166, 47646, 47251, 46726, 41204, 38821, 38458, 38064, 35868, 37689, 38209, 34994, 47679, 45134, 44647, 41732, 40683, 41415, 39588, 39126, 36538, 35314, 32569, 30310, 27527, 27212, 27026, 24823, 25299, 25025, 24171, 26508, 26021, 24954, 25577, 29461, 30451, 30007, 31599, 30546, 30569, 29820, 29696, 29041, 28598, 28478, 27671, 25237, 23825, 23876, 22464, 21342, 20968, 19920, 19744, 20129, 18709, 19140, 18809, 19667, 18350, 19493, 18953, 19499, 19330, 18800, 19144]"
Darabokra Törted A Szívem,"[11481, 13073, 14746, 13614, 13401, 14284, 14507, 14524, 15492, 14761, 14901, 15257, 14368, 14109, 14279, 14367, 15198, 14141, 48223]"
ME! (feat. Brendon Urie of Panic! At The Disco),"[69264, 55944, 50616, 39635, 37072, 32155, 30598, 27410, 24741, 22959, 21110, 19381, 18706, 18153, 17784, 17700, 16769, 21952, 19469, 17356, 16737, 16740, 16458, 16032, 15701, 14920, 15660, 14348, 14912, 14897]"
Yaay,"[68691, 64588, 67026, 65801, 62078, 62352, 59478, 60085, 55790, 54408, 50560, 50260, 50097, 46735, 46019, 43571, 44109, 46109, 48623, 49876, 52549, 47900, 46496, 43014, 42055, 41358, 42088, 35846, 39915, 39743, 42196, 41533, 41482, 41153, 36713, 37612, 38254, 41732, 37547, 38366, 37891, 37263, 35519, 33023, 33856, 32047, 30767, 27353, 26311, 26582, 24327, 25432, 25357, 24210, 25239, 25154, 24900, 23972, 25514, 25207, 25417, 24763, 25802, 29883, 31783, 32641, 31770, 31372, 31469, 31702, 34100, 35448, 34778, 33702, 30823, 30532, 30073, 31778, 31017, 26000, 27128, 25618, 25091, 25123, 27504, 26907, 24762, 22520, 24201, 23434, 24223, 23820, 23825, 23207, 24279, 23519, 24143, 22608, 22812, 23845, 20707, 21609, 23766, 30109, 28526, 26819, 26231, 25415, 25208, 25786, 25674, 23670, 22096, 21467, 21316, 22749, 22710, 22067, 21005, 21257, 20467, 21801, 21825, 23782, 26300, 24491, 23788, 23358, 23486]"
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"[37780, 39597, 45039, 49463, 60195, 61423, 61416, 64102, 66757, 68103, 59841, 56453, 53668, 50026, 51141, 57373, 50822, 39318, 38646, 34692, 36814, 35550, 35389, 30257, 26869, 26033, 25182, 21198, 21358, 21044, 20195, 22190, 30002, 26326, 22822, 24419, 23177, 21033, 20790, 20570, 20022, 20398, 19746, 20919, 20823, 19585, 19276, 19113, 19235, 18469, 18220, 18440, 16745, 17885, 17842, 17272, 17477, 18848, 17901, 18621, 19875, 19865, 19219, 19268, 19178, 19154, 18734, 17974, 17654, 16919, 16547]"
Truth Hurts,"[18844, 20018, 22571, 28758, 28301, 24163, 20087, 17745, 19552, 20994, 26134, 26474, 27598, 27769, 24911, 23044, 21228, 24068, 24053, 24570, 26309, 23177, 23786, 22707, 22552, 21282, 16119]"
Soha Nem Elég,"[14298, 15135, 16002, 16582, 16773, 17671, 17916, 18311, 18549, 18552, 17859, 18086, 18734, 17970, 18320, 17907, 18853, 19897, 19920, 20077, 20175, 19867, 19409, 18005, 18626, 18729, 18941, 16266, 17696, 17715, 17947, 18967, 20500, 20975, 17464, 17448, 19613, 19434, 18982, 19460, 18511, 18197, 18220, 18469, 17731, 17212, 15397, 15855, 14840, 15883, 15945, 15965, 16005, 16827, 17002, 16686, 16867, 17782, 18351, 19636, 19910, 19321, 19438, 18822, 18363, 18124, 18268, 17105]"
If I Can't Have You,"[101875, 86709, 68870, 65312, 60478, 56253, 55183, 56127, 53486, 47637, 43253, 41417, 38750, 40075, 37853, 35009, 25684, 25763, 24381, 25091, 25563, 24581, 23264, 23375, 23467, 24172, 21326, 21969, 21326, 19326, 18711, 20821, 19851, 18746, 19623, 20059, 19828, 19601, 19705, 19068, 19230, 19269, 19963, 19662, 19938, 20208, 19447, 20584, 18751, 19277, 19102, 18737, 19422, 18696, 18608, 17808, 18369, 17323, 17258, 16491, 16545, 16547]"
"Go Loko (feat. Tyga, Jon Z)","[13664, 13577, 26653, 30444, 36411, 40742, 37154, 36186, 32636, 29853, 26005, 18882, 16900, 15475, 14740, 14386, 14172]"
Gangsta's Paradise,"[12366, 15277, 20236, 21932, 21331, 23552, 23409, 22491, 23033, 23392, 24168, 24317, 22446, 22799, 22384, 22127, 22103, 21778, 21352, 21954, 22228, 20942, 23947, 27633, 27338, 25756, 24955, 24255, 23529, 23732, 25136, 23326, 23954, 24741, 23061, 24111, 23079, 23869, 25497, 25721, 25474, 26293, 27750, 28086, 26604, 28935, 28954, 28379, 29573, 28732, 30555, 27794, 27895, 29230, 28153, 28462, 29894, 29401, 30656, 30773, 27634, 27349, 27137, 26937, 26197, 26510, 26407, 26604, 26847, 26917, 27262, 38834, 56302, 43520, 38856, 43364, 44272, 39947, 41118, 35788, 34784, 33644, 32776, 34705, 42827, 32914, 32281, 33238, 33224, 31987, 32708, 32854, 33519, 33088, 33348, 33138, 34655, 33736, 34981, 35144, 33048, 33184, 34599, 34291]"
I Don't Care (with Justin Bieber),"[136491, 104933, 90341, 86446, 82627, 81230, 86566, 85716, 76204, 85814, 68361, 62224, 74326, 68168, 61634, 55990, 56879, 55570, 60770, 56282, 55986, 53228, 52449, 51397, 51926, 44065, 45285, 44578, 43428, 41349, 46990, 44809, 35310, 42804, 45128, 45454, 43426, 44787, 44998, 44045, 44560, 42551, 41589, 39542, 37358, 36800, 35026, 31590, 27887, 28217, 27245, 25829, 26911, 26503, 26502, 26054, 27288, 26029, 25949, 26014, 25510, 25060, 24672, 24031, 23548, 22839, 21905, 20866, 20482, 20331, 19856, 19230, 19208, 18612, 17822, 18869, 17912, 18553, 17430]"
World At Our Feet,"[22180, 21412, 19391, 17066, 17291, 16486, 17991, 20460, 19998, 19121, 17870, 16834, 16108, 14633, 14191, 13484, 13183, 14188]"
Dastvidanja,"[13486, 13556, 15115, 16887, 16428, 17198, 15970, 15221, 13824, 15010, 15441, 15039, 14831, 14170, 13276, 14247, 13691, 13942]"
Rescue Me,"[54002, 55099, 53383, 50997, 51477, 51857, 46954, 44502, 13858, 41332, 14012, 38562, 37759, 38390, 37887, 34853, 35811, 40361, 35865, 40077, 40510, 41747, 40785, 41845, 40913, 40286, 36278, 36808, 37337, 37120, 34274, 30559, 29192, 23811, 25288, 29020, 30013, 31768, 32559, 34538, 33817, 34231, 33755, 32897, 33179, 32517, 34958, 32566, 33586, 32510, 26181, 25328, 23392, 24311, 23852, 23597, 23477, 24044, 22374, 22091, 21600, 20747, 20982, 20952, 19708, 19516, 18676, 18302, 18078, 18196, 18891, 18359, 18697, 19420, 19699, 20645, 21108, 20411, 19225, 18423, 17853, 17337]"
Arcade,"[32805, 26311, 17062, 17410, 18269, 19320, 19021, 21732, 28800, 37246, 49395, 54352, 60176, 55200, 55618, 56472, 52158, 55573, 54878, 53488, 51607, 47851, 48093, 48827, 45596, 40196, 36594, 32269, 31600, 30626, 26930, 27101, 24719, 29393, 28859, 28133, 23705, 22234, 20402]"
Tattoo,"[18739, 74634, 76390, 60121, 52171, 48804, 48632, 48225, 41525, 39085, 36827, 34917, 37171, 35759, 34552, 44222, 38593]"
Bruises,"[15029, 15334, 14471, 14930, 16869, 18004, 18560, 21408, 20572, 19535, 18775, 24806, 24752, 17985, 21129, 23936, 24433, 24348, 23111, 23080, 23032, 22594, 22750, 21441, 20296, 21239, 20314, 19518, 18348, 19170, 18772, 17480, 16773, 16964, 16865, 16096, 16158, 15758, 15796]"
Cross Me (feat. Chance the Rapper & PnB Rock),"[63848, 48545, 42232, 40136, 44296, 43055, 29445, 48644, 36752, 32053, 37283, 28872, 21450, 19097, 16808, 15111, 14526, 14804, 14528]"
Easier,"[56256, 38897, 32028, 28429, 28776, 25432, 24502, 22615, 20590, 19600, 18653, 17705, 25566, 18737, 15068]"
