music,streams
Megöl,"[31138, 34804, 31677, 30589, 28639, 29226, 21444, 18880, 18066, 16329, 15686, 14589, 14081, 13183, 13559, 13131, 11857, 12769]"
rockstar (feat. 21 Savage),"[30658, 29744, 29399, 29281, 29655, 27828, 28718, 29983, 28090, 26400, 26208, 25136, 24334, 24047, 23823, 24325, 24008, 23102, 21941, 21792, 22019, 21600, 22627, 23077, 23628, 22779, 23095, 24087, 24175, 23947, 24861, 26912, 41775, 34804, 31795, 30259, 31456, 29967, 25940, 26378, 25470, 23899, 24418, 25222, 20770, 22100, 22217, 21862, 22854, 28357, 27663, 25798, 26869, 24994, 26126, 25039, 25641, 25764, 24746, 24681, 23777, 23922, 28017, 29053, 26696, 25147, 25479, 23757, 24055, 23770, 23343, 23341, 23469, 23499, 23220, 23824, 22464, 22583, 22943, 22933, 21334, 21805, 20517, 19438, 19932, 19298, 18295, 17745, 18440, 18378, 18017, 17004, 18501]"
Youngblood,"[29841, 33121, 34354, 32626, 29990, 32791, 32147, 32264, 31035, 31046, 30201, 29996, 30510, 29828, 29962, 27526, 26845, 26146, 27033, 27660, 26330, 29263, 28174, 27884, 29033, 29136, 27613, 27704, 26979, 27027, 24910, 25420, 24711, 24221, 22869, 25893, 27102, 25494, 25313, 25464, 24968, 24243, 25041, 25543, 21990, 23010, 22924, 24132, 25154, 31313, 28270, 23797, 24298, 26044, 26245, 24897, 24727, 24028, 25030, 24772, 24414, 23616, 23286, 24260, 23574, 23682, 24265, 22898, 24234, 24731, 23424, 27963, 26987, 27483, 25910, 27017, 25725, 24888, 25147, 24251, 24387, 24807, 24052, 23765, 23396, 22498, 23106, 23068, 22983, 23268, 22570, 22599, 22272, 21990, 22159, 20953, 20696, 20106, 20263, 19697, 20917, 21575, 18661, 20119, 21979, 21180, 21053, 21115, 20001, 20244, 20534, 20978, 20558, 20613, 21196, 21849, 20070, 23152, 24342, 23631, 22085, 21402, 20478, 19898, 20016, 20359, 19587, 24583, 30817, 23891]"
Natural,"[29686, 32381, 34078, 32450, 32289, 31538, 28820, 30534, 28989, 28761, 28666, 28619, 28966, 26189, 23961, 24364, 21877, 21267, 21007, 21389, 21416, 21740, 23167, 22428, 21675, 20625, 20574, 19566, 19036, 18853, 18573, 19145, 18805, 17894, 17991, 17658, 17962, 18470, 18709, 19436, 18601, 18944, 19374, 19729, 17042, 18320, 17968, 17743, 17619, 20493, 19195, 16115, 16816, 18142, 17676, 17985, 18316, 18354, 17836, 17603, 17437, 17159, 16845, 16166, 14911, 15463, 15560, 15043, 15840, 16176, 16405, 16184, 16540, 16698, 16571, 16434, 16053, 16145, 36211]"
Füttyös,"[29482, 30009, 33560, 31389, 30820, 30810, 31017, 31291, 30634, 30497, 31143, 29331, 30384, 29897, 28785, 30520, 28227, 28617, 27414, 28162, 27986, 28219, 28264, 32036, 31256, 31493, 32600, 31536, 31409, 32535, 31725, 31909, 32006, 32471, 33255, 33095, 33213, 34746, 32763, 31614, 29378, 28706, 27794, 30072, 25769, 26717, 26591, 25833, 25790, 28754, 28437, 25699, 24630, 23856, 25891, 24828, 24974, 24894, 25353, 25239, 25012, 25437, 25304, 24122, 22344, 22674, 24104, 22326, 22420, 23005, 22176, 23669, 23987, 23865, 22802, 25033, 25529, 25003, 24698, 25607, 30106, 32545, 32464, 32507, 31405, 31721, 31736, 33219, 35798, 33935, 32380, 29621, 29849, 28744, 29699, 26994, 24644, 23340, 23400, 24195, 23426, 24812, 24804, 22462, 20316, 22086, 21772, 22652, 22663, 21823, 22009, 22956, 21716, 21581, 21135, 20849, 22577, 19798, 20463, 20294, 22161, 21183, 21222, 20890, 21226, 21514, 22699, 22830, 21813, 20684, 20010, 20626, 22273, 22204, 21628, 24803, 24383, 22525, 21283, 21548]"
Going Bad (feat. Drake),"[29393, 31224, 33481, 33018, 32187, 29494, 32478, 32933, 28339, 26679, 24420, 22159, 22346, 21536, 20088, 20839, 18219, 17232, 14876, 13852]"
Promises (with Sam Smith),"[29383, 29539, 32643, 32842, 29354, 28495, 26118, 24995, 25159, 23934, 23707, 21447, 22367, 21882, 20119, 20398, 17783, 16994, 17025, 16614, 16569, 15482, 14991, 14779, 15084, 14999, 14389, 13624, 13781, 13089]"
Say My Name,"[29011, 30609, 33624, 34813, 36958, 38163, 38862, 40274, 40604, 40365, 39044, 35808, 36728, 36178, 34910, 35695, 32124, 31371, 28865, 29302, 27756, 27958, 27212, 28645, 27820, 25696, 24689, 23620, 23375, 22257, 21114, 20768, 20858, 19385, 19130, 19350, 19083, 19788, 19666, 19585, 18641, 18806, 18967, 18715, 16012, 16580, 16529, 15867, 15848, 18159]"
Girls Like You (feat. Cardi B) - Cardi B Version,"[28992, 28749, 28510, 26805, 25799, 25650, 24273, 23924, 22697, 23222, 20259, 18678, 19146, 18909, 18589, 18277, 17502, 16190, 16056, 15875, 16617, 17479, 16801, 16437, 16801, 17290, 17659, 17013, 16758, 16275, 15366, 15415, 15496, 15154, 14055, 14644, 14034, 13754, 14748, 14478, 14884, 15897]"
Eastside (with Halsey & Khalid),"[28858, 32068, 33652, 32584, 29272, 29670, 27853, 27895, 29757, 29702, 24520, 22856, 23645, 21829, 20774, 19847, 18496, 18670, 18527, 18545, 18259, 18222, 18442, 18550, 18931, 18864, 18454, 16810, 16447, 16166, 15730, 15138, 15111, 15443, 14668, 16112, 17014, 16636, 16553, 16752, 16321, 15817, 15741, 15607, 14091, 14734, 14273, 14452, 15874, 16888, 16983, 17346, 17422, 17457, 17182, 17350, 19077, 16567, 15926]"
