artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2,streams,release_week,weeks_after_release,occurence_percentage,log_occurence,normalized_streams,popularity_score_log,popularity_log_normalized
"Azahriah, DESH",Rét,spotify:track:5pYNDOTIoZZ5ab77vb8EO3,0.474,0.711,0,-6.94,1,0.0862,0.438,0.0,0.107,0.722,81.993,audio_features,5pYNDOTIoZZ5ab77vb8EO3,https://api.spotify.com/v1/tracks/5pYNDOTIoZZ5ab77vb8EO3,https://api.spotify.com/v1/audio-analysis/5pYNDOTIoZZ5ab77vb8EO3,179235,4,0.026364608192282,0.0479715629492042,66,2021-01-14,183,36.0655737704918,3.585338775173096,0.0073534496586055,-2.7297034710846457,61.50079853079809
ekhoe,Smash!,spotify:track:2FjAl2iDsR9LtXQZa3XNag,0.759,0.53,11,-7.747,0,0.128,0.187,0.0,0.0916,0.226,79.978,audio_features,2FjAl2iDsR9LtXQZa3XNag,https://api.spotify.com/v1/tracks/2FjAl2iDsR9LtXQZa3XNag,https://api.spotify.com/v1/audio-analysis/2FjAl2iDsR9LtXQZa3XNag,144000,4,0.033230281713433,0.0604639575680248,66,2023-04-13,66,100.0,4.605170185988092,0.0072158639901172,-2.4982644230388837,68.32621055570556
"AKC Kretta, AKC Misi",Gyere Velem,spotify:track:10wMZu2Y9o55ylw6mRSiKB,0.831,0.712,10,-8.913,0,0.0924,0.783,0.0,0.0849,0.487,115.013,audio_features,10wMZu2Y9o55ylw6mRSiKB,https://api.spotify.com/v1/tracks/10wMZu2Y9o55ylw6mRSiKB,https://api.spotify.com/v1/audio-analysis/10wMZu2Y9o55ylw6mRSiKB,200679,4,0.0226720801904404,0.0412528460166348,66,2021-09-16,148,44.5945945945946,3.797612654250402,0.0059700875930738,-2.880591763129873,57.050923837485286
"Future, Drake",Life Is Good (feat. Drake),spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc,237735,4,0.0190845796995374,0.0347252312546587,66,2020-01-16,235,28.08510638297873,3.335239413870358,0.0057221018737574,-3.0528453196535885,51.97096215445255
Minelli,Rampampam,spotify:track:1esZgaqm0YKN87CIP3orJ3,0.797,0.649,3,-5.506,0,0.182,0.24,0.0012,0.153,0.437,117.971,audio_features,1esZgaqm0YKN87CIP3orJ3,https://api.spotify.com/v1/tracks/1esZgaqm0YKN87CIP3orJ3,https://api.spotify.com/v1/audio-analysis/1esZgaqm0YKN87CIP3orJ3,200212,4,0.0269510883432437,0.0490386893512023,66,2021-06-24,160,41.25,3.71965111278069,0.0072455957631725,-2.707702302719827,62.14963908033906
Queen,Another One Bites The Dust - Remastered 2011,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,214653,4,0.0157204839173946,0.0286041111756788,66,2019-01-03,289,22.837370242214533,3.1283982399020847,0.0050250903855151,-3.246761412976727,46.25214656837599
Armin van Buuren,Blah Blah Blah,spotify:track:0tp6mwUt99QnfY95T30Lqj,0.378,0.963,5,-3.911,0,0.0682,0.00882,0.00357,0.294,0.16,103.406,audio_features,0tp6mwUt99QnfY95T30Lqj,https://api.spotify.com/v1/tracks/0tp6mwUt99QnfY95T30Lqj,https://api.spotify.com/v1/audio-analysis/0tp6mwUt99QnfY95T30Lqj,183519,3,0.0140191822565701,0.0255085180561983,66,2019-01-03,289,22.837370242214533,3.1283982399020847,0.0044812652295217,-3.361299430068716,42.87428459663931
FISHER,Losing It,spotify:track:6ho0GyrWZN3mhi9zVRW7xi,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,audio_features,6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/tracks/6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/audio-analysis/6ho0GyrWZN3mhi9zVRW7xi,248036,4,0.0106790378899273,0.0193601704267445,65,2019-01-03,289,22.491349480968857,3.1131307677712963,0.0034303210133291,-3.6370939830292177,34.740776123996525
David Kushner,Daylight,spotify:track:1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4,0.0374821028569248,0.0679518049043803,65,2023-04-20,65,100.0,4.605170185988092,0.0081391352204462,-2.381513165386307,71.76934361658559
Manuel,Zombi,spotify:track:5WthbIy7Qp7HmGYGRCZ43z,0.694,0.661,6,-4.808,0,0.102,0.154,0.0,0.149,0.611,163.078,audio_features,5WthbIy7Qp7HmGYGRCZ43z,https://api.spotify.com/v1/tracks/5WthbIy7Qp7HmGYGRCZ43z,https://api.spotify.com/v1/audio-analysis/5WthbIy7Qp7HmGYGRCZ43z,191411,4,0.0404124991731155,0.0732643595262595,65,2022-02-10,127,51.181102362204726,3.9353703694251374,0.0102690459548839,-2.3062376047001143,73.98930918172047
ekhoe,Tenger,spotify:track:1o1jU5NJW5lTAllW6udk6Y,0.784,0.464,8,-6.753,0,0.0837,0.0898,0.0,0.105,0.214,143.922,audio_features,1o1jU5NJW5lTAllW6udk6Y,https://api.spotify.com/v1/tracks/1o1jU5NJW5lTAllW6udk6Y,https://api.spotify.com/v1/audio-analysis/1o1jU5NJW5lTAllW6udk6Y,160000,4,0.0224439207114119,0.0406888836331518,65,2021-12-09,136,47.794117647058826,3.8669025701476767,0.0058041081470937,-2.894356942137893,56.64497238236278
"Daddy Yankee, Snow",Con Calma,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4,0.0200766084057926,0.0362619680480591,64,2019-01-24,286,22.377622377622377,3.1080614585279105,0.0064595274815774,-3.009542388011159,53.24801696798403
Halott Pénz,Valami Van A Levegőben,spotify:track:7xOUR4tRfNXMBcSgesqROh,0.57,0.833,11,-4.353,1,0.0915,0.17,0.0,0.156,0.911,202.075,audio_features,7xOUR4tRfNXMBcSgesqROh,https://api.spotify.com/v1/tracks/7xOUR4tRfNXMBcSgesqROh,https://api.spotify.com/v1/audio-analysis/7xOUR4tRfNXMBcSgesqROh,211442,4,0.0108144099854407,0.0195327707461544,64,2019-01-03,289,22.145328719723185,3.097626581235331,0.0034911922731267,-3.628218261764547,35.00253167113148
"Felix Jaehn, Ray Dalton",Call It Love,spotify:track:5YdnOm5990Kfq1Jodws98B,0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029,audio_features,5YdnOm5990Kfq1Jodws98B,https://api.spotify.com/v1/tracks/5YdnOm5990Kfq1Jodws98B,https://api.spotify.com/v1/audio-analysis/5YdnOm5990Kfq1Jodws98B,154561,4,0.0147976003152682,0.0267271293524551,64,2022-10-13,92,69.56521739130434,4.242264692298723,0.0034881369713048,-3.314632737711225,44.25054070324279
Carson Coma,Hobbihajótörött,spotify:track:6yvsTtv6ZBMI53Z20PiIoQ,0.435,0.558,0,-10.529,1,0.113,0.102,0.0,0.253,0.535,184.776,audio_features,6yvsTtv6ZBMI53Z20PiIoQ,https://api.spotify.com/v1/tracks/6yvsTtv6ZBMI53Z20PiIoQ,https://api.spotify.com/v1/audio-analysis/6yvsTtv6ZBMI53Z20PiIoQ,160427,4,0.0119506320261794,0.0215849922421358,64,2020-10-15,196,32.6530612244898,3.485938610117246,0.0034282393819257,-3.528313598275817,37.94883868923449
"KKevin, L.L. Junior",Csavargó,spotify:track:1jI95q1ZSLZuVNdOMwaoUL,0.848,0.694,6,-5.255,0,0.398,0.322,0.0,0.1,0.626,79.987,audio_features,1jI95q1ZSLZuVNdOMwaoUL,https://api.spotify.com/v1/tracks/1jI95q1ZSLZuVNdOMwaoUL,https://api.spotify.com/v1/audio-analysis/1jI95q1ZSLZuVNdOMwaoUL,174000,4,0.0410902386500962,0.0742163661760225,64,2023-01-26,77,83.11688311688312,4.420247847494079,0.0092959128238456,-2.2933271736115195,74.37005310692626
VALMAR,Rövid Éj,spotify:track:2biPYSmD5KT3ToQtgQFXTT,0.678,0.828,0,-3.353,0,0.0815,0.352,0.0,0.0718,0.635,139.963,audio_features,2biPYSmD5KT3ToQtgQFXTT,https://api.spotify.com/v1/tracks/2biPYSmD5KT3ToQtgQFXTT,https://api.spotify.com/v1/audio-analysis/2biPYSmD5KT3ToQtgQFXTT,188580,4,0.0134687007208394,0.0242347793554611,63,2021-09-02,150,42.0,3.737669618283368,0.0036035022076203,-3.412523102992773,41.36363772832581
ekhoe,Százszorszép,spotify:track:0XilNm77D1XTBEMFHNoHGr,0.499,0.463,0,-10.831,1,0.099,0.151,0.0,0.124,0.192,142.749,audio_features,0XilNm77D1XTBEMFHNoHGr,https://api.spotify.com/v1/tracks/0XilNm77D1XTBEMFHNoHGr,https://api.spotify.com/v1/audio-analysis/0XilNm77D1XTBEMFHNoHGr,146014,4,0.0324031201261111,0.0583042479717273,63,2023-04-13,66,95.45454545454544,4.558650170353198,0.0071080514878816,-2.534636913162187,67.25354268241593
Azahriah,3korty,spotify:track:5ZY255MSISgMrvHmRZux1E,0.825,0.69,0,-6.943,0,0.114,0.223,0.0,0.111,0.315,103.049,audio_features,5ZY255MSISgMrvHmRZux1E,https://api.spotify.com/v1/tracks/5ZY255MSISgMrvHmRZux1E,https://api.spotify.com/v1/audio-analysis/5ZY255MSISgMrvHmRZux1E,193398,4,0.0758890808118757,0.1365503003655677,63,2023-05-04,63,100.0,4.605170185988092,0.0164791045166537,-1.6836188202813227,92.3510755905808
Azahriah,casa de papel,spotify:track:3UlXaigjBM3sHyOpDbh1RI,0.808,0.679,5,-7.034,0,0.125,0.646,0.0147,0.115,0.511,135.064,audio_features,3UlXaigjBM3sHyOpDbh1RI,https://api.spotify.com/v1/tracks/3UlXaigjBM3sHyOpDbh1RI,https://api.spotify.com/v1/audio-analysis/3UlXaigjBM3sHyOpDbh1RI,160000,4,0.0467600503779983,0.0841372547396246,63,2023-05-04,63,100.0,4.605170185988092,0.0101538159263413,-2.167862417535447,78.07015757095076
